duration,protocol_type,src_bytes,dst_bytes,count,label
0,0,491,0,2,0
0,1,146,0,13,0
0,0,0,0,123,1
0,0,232,8153,5,0
0,0,199,420,30,0
0,0,0,0,121,1
0,0,0,0,166,1
0,0,0,0,117,1
0,0,0,0,270,1
0,0,0,0,133,1
0,0,0,0,205,1
0,0,0,0,199,1
0,0,287,2251,3,0
0,0,334,0,2,1
0,0,0,0,233,1
0,0,0,0,96,1
0,0,300,13788,8,0
0,2,18,0,1,1
0,0,233,616,3,0
0,0,343,1178,9,0
0,0,0,0,223,1
0,0,0,0,280,1
0,0,253,11905,8,0
5607,1,147,105,1,0
0,0,0,0,248,1
507,0,437,14421,1,0
0,0,0,0,279,1
0,0,227,6588,5,0
0,0,215,10499,14,0
0,0,241,1400,33,0
0,2,8,0,1,1
0,0,0,0,57,1
0,0,303,555,9,0
0,0,0,0,2,1
0,1,45,45,181,0
1,1,105,147,2,0
0,1,43,43,122,0
0,0,0,0,205,1
0,0,324,2302,22,0
0,0,0,0,228,1
0,0,0,0,50,1
0,0,0,0,262,1
2,0,1591,372,1,0
9052,1,146,105,4,0
0,0,290,3006,11,0
0,0,0,0,108,1
0,1,28,0,80,1
0,0,255,861,44,0
0,0,334,0,2,1
0,0,0,0,258,1
0,0,302,498,10,0
0,0,0,0,61,1
0,1,28,0,2,1
0,0,220,1398,26,0
0,1,43,69,120,0
0,1,44,133,73,0
0,2,8,0,1,1
0,0,0,0,135,1
0,0,0,0,24,1
0,1,43,43,148,0
0,0,641,0,2,0
0,0,0,0,206,1
0,0,0,0,175,1
0,0,310,2794,4,0
0,0,0,0,63,1
0,0,696,333,1,0
0,0,0,0,1,1
0,0,0,0,52,1
0,0,0,0,125,1
0,0,0,0,168,1
0,0,221,2878,1,0
0,0,0,0,145,1
0,2,181,0,3,0
0,1,42,42,9,0
0,0,0,0,138,1
0,0,12,0,1,0
0,0,0,0,276,1
0,0,210,2790,10,0
0,0,321,5683,10,0
0,0,0,0,248,1
0,0,329,3982,2,0
0,0,0,0,135,1
0,0,0,0,220,1
0,2,8,0,1,1
0,0,320,379,9,0
0,0,0,0,212,1
0,0,225,3762,10,0
0,0,0,0,250,1
0,0,0,0,132,1
315,1,146,105,3,0
0,0,247,1416,11,0
0,0,353,1483,3,0
0,1,44,44,109,0
0,0,0,0,146,1
0,0,0,0,300,1
2,0,3065,331,1,0
0,1,102,102,1,0
0,0,259,750,4,0
1082,1,147,105,2,0
0,0,0,0,129,1
0,0,0,354,32,0
0,0,309,306,1,0
0,0,0,0,1,0
0,0,278,7227,3,0
0,1,28,0,82,1
0,0,313,761,1,0
0,0,219,1212,15,0
0,0,245,9165,2,0
0,0,328,2243,21,0
0,0,0,0,1,0
0,0,251,301,3,0
0,0,2089,335,2,0
0,0,0,0,1,0
0,0,237,511,1,0
0,0,324,431,4,0
